Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.13487757053926,-0.0336202311608078,0.106920714353761,0,0,0,0.882763599534397,0.00111382201957083,-4.21786206715989E-06,-3.25725617277599E-06,0.00172986476818121,-9.9311816873734E-07,0.000908858636466996,0,0,0,0,0,0,package://kubot22/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/base_link.STL,,Base-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
L_P_Link,0.0101942341044289,-2.22044604925031E-16,-0.000142768980480532,0,0,0,0.0393857347582611,2.64964190476657E-05,1.06853302085836E-19,1.14503891498095E-06,3.48934068790809E-05,-1.65767744381382E-19,1.3647568165069E-05,0,0,0,0,0,0,package://kubot22/meshes/L_P_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/L_P_Link.STL,,L_Pelvis-1,cL_P_yaw,L_P_yaw,LP,revolute,0.159485615221285,0.0404744286028535,0.156960053259992,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
L_Pm_Link,0.00707717713304501,3.85239838591456E-05,-0.0151561501062952,0,0,0,0.162200904744285,5.7104715252823E-05,-1.84219355186035E-15,-8.84021044537679E-07,5.64546355569106E-05,-8.80586953161381E-07,3.55989270228193E-05,0,0,0,0,0,0,package://kubot22/meshes/L_Pm_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/L_Pm_Link.STL,,L_Pelvismotor-1,cL_P_roll,L_P_roll,LPm,revolute,-0.0325199999999994,0,-0.0344999999999993,0,0,0,L_P_Link,-1,0,0,0,0,0,0,,,,,,,,
L_Pd_Link,2.38804326063713E-06,-0.0233215850886279,-0.0985654144211849,0,0,0,0.131437999723236,6.74148953552328E-05,2.31027379277854E-09,1.64109502160248E-09,6.23573284633263E-05,1.06283658581043E-06,2.94619383856094E-05,0,0,0,0,0,0,package://kubot22/meshes/L_Pd_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/L_Pd_Link.STL,,L_Pelvisdown-1,cL_P_pitch,L_P_pitch,LPd,revolute,0.0327000000000002,0.0234999999999997,0,0,0,0,L_Pm_Link,0,-1,0,0,0,0,0,,,,,,,,
L_K_Link,9.15933995315754E-16,-0.0259000000000005,-0.0669817464987959,0,0,0,0.0456080512896605,9.51110967920258E-05,2.2043798017358E-20,1.47886924624151E-18,9.72572102585299E-05,-6.82082480675503E-19,4.88947453763215E-06,0,0,0,0,0,0,package://kubot22/meshes/L_K_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/L_K_Link.STL,,L_Knee-1,cL_K_pitch,L_K_pitch,LK,revolute,0,0.00259999999999899,-0.138,0,0,0,L_Pd_Link,0,-1,0,0,0,0,0,,,,,,,,
L_A_Link,-0.0259666104120727,-0.0259475134476136,0.0156397822927297,0,0,0,0.190388191021813,7.64195116737871E-05,-1.15225093959467E-16,1.06791218491658E-06,7.57694319796679E-05,1.06119549076496E-06,4.77962950267527E-05,0,0,0,0,0,0,package://kubot22/meshes/L_A_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/L_A_Link.STL,,L_Ankle-2,cL_A_pitch,L_A_pitch,LA,revolute,0,0,-0.143,0,0,0,L_K_Link,0,-1,0,0,0,0,0,,,,,,,,
L_F_Link,0.0310640975062315,0.0143937054527845,-0.0343821494549726,0,0,0,0.0868435167094629,6.6263151611369E-05,-2.45575588587493E-09,-9.73035350957053E-11,0.00014335576194635,3.45047996863833E-09,0.000203561773995672,0,0,0,0,0,0,package://kubot22/meshes/L_F_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/L_F_Link.STL,,L_Foot-1,cL_A_roll,L_A_roll,LF,revolute,-0.0302000000025354,-0.0259999999982274,0,0,0,0,L_A_Link,-1,0,0,0,0,0,0,,,,,,,,
R_P_Link,0.010194234104429,-6.93889390390723E-17,-0.000142768980477243,0,0,0,0.039385734758261,2.64964190476657E-05,9.96852611367357E-20,1.14503891498095E-06,3.48934068790809E-05,-1.49177113282633E-19,1.3647568165069E-05,0,0,0,0,0,0,package://kubot22/meshes/R_P_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/R_P_Link.STL,,R_Pelvis-1,cR_P_yaw,R_P_yaw,RP,revolute,0.159485615221284,0.0404744286028528,0.056960053259992,1.5707963267949,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
R_Pm_Link,0.00707717626302978,-3.85248505976876E-05,-0.0151561501067035,0,0,0,0.16220090474444,5.7104715251826E-05,3.93080780626017E-16,-8.84021462112588E-07,5.64546355578891E-05,8.80586542006963E-07,3.55989270225549E-05,0,0,0,0,0,0,package://kubot22/meshes/R_Pm_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/R_Pm_Link.STL,,R_Pelvismotor-1,cR_P_roll,R_P_roll,RPm,revolute,-0.0325199999999994,0,-0.0345000000000015,0,0,0,R_P_Link,-1,0,0,0,0,0,0,,,,,,,,
R_Pd_Link,-2.38804325317088E-06,0.0233215850886161,-0.0985654144211578,0,0,0,0.131437999723154,6.7414895355171E-05,2.31027378172361E-09,-1.64109500692008E-09,6.23573284632843E-05,-1.06283658584147E-06,2.94619383855796E-05,0,0,0,0,0,0,package://kubot22/meshes/R_Pd_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://kubot22/meshes/R_Pd_Link.STL,,R_Pelvisdown-1,cR_P_pitch,R_P_pitch,RPd,revolute,0.0326999999999998,-0.0234999999999854,0,0,0,0,R_Pm_Link,0,1,0,0,0,0,0,,,,,,,,
