index	Gp
0	-897.6888
1	-914.1178
2	-943.4397
3	-982.5290
4	-1028.6531
5	-1079.4505
6	-1132.9072
7	-1187.3296
8	-1241.3176
9	-1293.7364
10	-1343.6891
11	-1390.4899
12	-1433.6378
13	-1472.7922
14	-1507.7498
15	-1538.4235
16	-1564.8223
17	-1587.0338
18	-1605.2085
19	-1619.5449
20	-1630.2775
21	-1637.6658
22	-1641.9849
23	-1643.5175
24	-1642.5475
25	-1639.3543
26	-1634.2087
27	-1627.3690
28	-1619.0794
29	-1609.5670
30	-1599.0416
31	-1587.6945
32	-1575.6985
33	-1563.2081
34	-1550.3599
35	-1537.2735
36	-1524.0523
37	-1510.7845
38	-1497.5442
39	-1484.3929
40	-1471.3804
41	-1458.5459
42	-1445.9196
43	-1433.5234
44	-1421.3723
45	-1409.4752
46	-1397.8357
47	-1386.4533
48	-1375.3242
49	-1364.4416
50	-1353.7965
51	-1343.3784
52	-1333.1758
53	-1323.1762
54	-1313.3670
55	-1303.7354
56	-1294.2688
57	-1284.9549
58	-1275.7820
59	-1266.7390
60	-1257.8155
61	-1249.0020
62	-1240.2895
63	-1231.6701
64	-1223.1366
65	-1214.6824
66	-1206.3020
67	-1197.9902
68	-1189.7429
69	-1181.5562
70	-1173.4271
71	-1165.3529
72	-1157.3314
73	-1149.3609
74	-1141.4400
75	-1133.5675
76	-1125.7427
77	-1117.9650
78	-1110.2339
79	-1102.5492
80	-1094.9108
81	-1087.3187
82	-1079.7729
83	-1072.2736
84	-1064.8208
85	-1057.4148
86	-1050.0557
87	-1042.7436
88	-1035.4788
89	-1028.2613
90	-1021.0914
91	-1013.9689
92	-1006.8941
93	-999.8669
94	-992.8873
95	-985.9553
96	-979.0708
97	-972.2337
98	-965.4438
99	-958.7010
100	-952.0051
101	-945.3560
102	-938.7533
103	-932.1968
104	-925.6863
105	-919.2215
106	-912.8021
107	-906.4279
108	-900.0984
109	-893.8134
110	-887.5727
111	-881.3758
112	-875.2224
113	-869.1123
114	-863.0451
115	-857.0205
116	-851.0382
117	-845.0979
118	-839.1991
119	-833.3418
120	-827.5254
121	-821.7498
122	-816.0146
123	-810.3195
124	-804.6642
125	-799.0484
126	-793.4719
127	-787.9344
128	-782.4355
129	-776.9751
130	-771.5527
131	-766.1682
132	-760.8213
133	-755.5117
134	-750.2392
135	-745.0034
136	-739.8042
137	-734.6412
138	-729.5143
139	-724.4231
140	-719.3674
141	-714.3471
142	-709.3617
143	-704.4111
144	-699.4951
145	-694.6133
146	-689.7656
147	-684.9518
148	-680.1715
149	-675.4246
150	-670.7108
151	-666.0298
152	-661.3816
153	-656.7658
154	-652.1822
155	-647.6306
156	-643.1107
157	-638.6224
158	-634.1654
159	-629.7395
160	-625.3445
161	-620.9802
162	-616.6463
163	-612.3427
164	-608.0691
165	-603.8254
166	-599.6112
167	-595.4265
168	-591.2709
169	-587.1444
170	-583.0467
171	-578.9776
172	-574.9369
173	-570.9243
174	-566.9398
175	-562.9831
176	-559.0540
177	-555.1523
178	-551.2779
179	-547.4305
180	-543.6099
181	-539.8160
182	-536.0486
183	-532.3075
184	-528.5925
185	-524.9034
186	-521.2401
187	-517.6023
